feature,coef,std_err,p_value,pos_group,target,n,r2,q_value
broad_missing,0.106314,0.244216,0.663323,EDGE,log_pick,247,0.371611,0.900225
agility_missing,-0.192613,0.165643,0.244902,EDGE,log_pick,247,0.371611,0.567455
age_at_draft,-0.39333,0.0761383,2.39165e-07,EDGE,log_pick,247,0.371611,1.64764e-05
power_conf,0.274194,0.149449,0.0665513,EDGE,log_pick,247,0.371611,0.300957
final_def_sacks_pg,0.236437,0.129607,0.0681113,EDGE,log_pick,247,0.371611,0.300957
final_def_sack_share_na,0.461722,0.427955,0.280631,EDGE,log_pick,247,0.371611,0.59373
final_def_sack_share,0.000182602,0.09586,0.99848,EDGE,log_pick,247,0.371611,0.99848
career_def_sacks_pg,-0.0731597,0.107747,0.497141,EDGE,log_pick,247,0.371611,0.774236
final_def_ff_pg,0.0624567,0.0783632,0.425442,EDGE,log_pick,247,0.371611,0.70452
final_def_pbu_pg,0.00386084,0.0701696,0.956121,EDGE,log_pick,247,0.371611,0.976683
college_seasons,-0.0910879,0.0726393,0.209851,EDGE,log_pick,247,0.371611,0.546187
draft_year_c,0.450592,0.283887,0.112462,EDGE,log_pick,247,0.371611,0.404899
z_height_in,0.201806,0.156157,0.196244,EDGE,drafted,333,0.193356,0.477349
z_weight_lb,0.551984,0.175696,0.00167964,EDGE,drafted,333,0.193356,0.0251946
z_forty,0.50383,0.226755,0.0262895,EDGE,drafted,333,0.193356,0.169004
z_bench,-0.0137348,0.164627,0.93351,EDGE,drafted,333,0.193356,0.943999
z_vertical,0.284554,0.208289,0.171893,EDGE,drafted,333,0.193356,0.448416
z_broad,0.289915,0.262283,0.269006,EDGE,drafted,333,0.193356,0.565877
z_cone,0.224525,0.228951,0.326758,EDGE,drafted,333,0.193356,0.610535
z_shuttle,0.461273,0.21154,0.0292168,EDGE,drafted,333,0.193356,0.181345
forty_missing,0.0459493,0.400217,0.908595,EDGE,drafted,333,0.193356,0.932402
bench_missing,0.484873,0.340047,0.153897,EDGE,drafted,333,0.193356,0.445025
vertical_missing,-0.306798,0.746044,0.680902,EDGE,drafted,333,0.193356,0.843823
broad_missing,0.197335,0.68311,0.772675,EDGE,drafted,333,0.193356,0.88587
agility_missing,-0.145234,0.417292,0.727811,EDGE,drafted,333,0.193356,0.856248
power_conf,0.619659,0.400183,0.121517,EDGE,drafted,333,0.193356,0.397692
final_def_sacks_pg,0.208675,0.322736,0.517902,EDGE,drafted,333,0.193356,0.749349
final_def_sack_share,-0.137771,0.201446,0.494032,EDGE,drafted,333,0.193356,0.747276
career_def_sacks_pg,0.281954,0.273954,0.303384,EDGE,drafted,333,0.193356,0.6001
final_def_ff_pg,0.170903,0.177045,0.334388,EDGE,drafted,333,0.193356,0.610535
final_def_pbu_pg,-0.0425084,0.163103,0.794384,EDGE,drafted,333,0.193356,0.899302
college_seasons,0.282694,0.173597,0.103429,EDGE,drafted,333,0.193356,0.344765
draft_year_c,-1.77724,0.700943,0.0112288,EDGE,drafted,333,0.193356,0.0808475
z_height_in,0.152186,0.0635558,0.0166419,EDGE,draft_capital,333,0.29715,0.115213
z_weight_lb,0.28377,0.0624397,5.50101e-06,EDGE,draft_capital,333,0.29715,0.000123773
z_forty,0.249287,0.0772381,0.00124872,EDGE,draft_capital,333,0.29715,0.0140481
z_bench,0.0857804,0.0692801,0.215654,EDGE,draft_capital,333,0.29715,0.53064
z_vertical,0.101111,0.076182,0.184432,EDGE,draft_capital,333,0.29715,0.528171
z_broad,0.104974,0.0931508,0.259773,EDGE,draft_capital,333,0.29715,0.599048
z_cone,0.0790821,0.0871955,0.364432,EDGE,draft_capital,333,0.29715,0.669365
z_shuttle,0.155534,0.0686483,0.0234723,EDGE,draft_capital,333,0.29715,0.137477
