feature,coef,std_err,p_value,pos_group,target,n,r2,q_value
draft_year_c,-0.171422,0.088696,0.0532737,OT,log_pick,421,0.260988,0.147099
z_height_in,-0.0521578,0.110008,0.635409,OT,drafted,626,0.164073,0.752117
z_weight_lb,0.552376,0.132576,3.09324e-05,OT,drafted,626,0.164073,0.000358816
z_forty,0.52687,0.141826,0.00020328,OT,drafted,626,0.164073,0.00208063
z_bench,0.091947,0.112415,0.413399,OT,drafted,626,0.164073,0.575452
z_vertical,0.0694127,0.113326,0.540205,OT,drafted,626,0.164073,0.681128
z_broad,0.225709,0.147878,0.126931,OT,drafted,626,0.164073,0.302547
z_cone,0.300703,0.147329,0.0412477,OT,drafted,626,0.164073,0.149523
z_shuttle,0.129802,0.151899,0.392813,OT,drafted,626,0.164073,0.558051
forty_missing,-0.194827,0.385181,0.612993,OT,drafted,626,0.164073,0.7407
bench_missing,-0.394067,0.230288,0.0870462,OT,drafted,626,0.164073,0.252434
vertical_missing,0.619872,0.524325,0.237115,OT,drafted,626,0.164073,0.421
broad_missing,-0.860543,0.497619,0.0837515,OT,drafted,626,0.164073,0.246996
agility_missing,-0.352641,0.308323,0.252733,OT,drafted,626,0.164073,0.435402
power_conf,0.771731,0.26235,0.0032651,OT,drafted,626,0.164073,0.0227251
fbs,0.727807,0.356523,0.0412111,OT,drafted,626,0.164073,0.149523
draft_year_c,-0.455473,0.18316,0.0128918,OT,drafted,626,0.164073,0.0679747
z_height_in,-0.0290762,0.0436644,0.505475,OT,draft_capital,626,0.235146,0.64199
z_weight_lb,0.302564,0.0551224,4.04322e-08,OT,draft_capital,626,0.235146,5.02514e-07
z_forty,0.3616,0.0568184,1.96402e-10,OT,draft_capital,626,0.235146,3.41739e-09
z_bench,0.0683804,0.0533108,0.199606,OT,draft_capital,626,0.235146,0.340504
z_vertical,0.00299088,0.047978,0.950293,OT,draft_capital,626,0.235146,0.961343
z_broad,0.143491,0.0583122,0.0138653,OT,draft_capital,626,0.235146,0.0482513
z_cone,0.102893,0.0603724,0.0883247,OT,draft_capital,626,0.235146,0.190779
z_shuttle,0.0209974,0.0574724,0.714851,OT,draft_capital,626,0.235146,0.812879
forty_missing,-0.182782,0.180402,0.310969,OT,draft_capital,626,0.235146,0.486359
bench_missing,-0.0663101,0.102602,0.518096,OT,draft_capital,626,0.235146,0.648551
vertical_missing,0.284431,0.255427,0.265471,OT,draft_capital,626,0.235146,0.42378
broad_missing,-0.282619,0.282598,0.317275,OT,draft_capital,626,0.235146,0.486359
agility_missing,-0.0498028,0.13766,0.717516,OT,draft_capital,626,0.235146,0.812879
power_conf,0.300831,0.101014,0.00290029,OT,draft_capital,626,0.235146,0.0144186
fbs,0.368789,0.12279,0.00266962,OT,draft_capital,626,0.235146,0.0136622
draft_year_c,-0.112869,0.0747396,0.131002,OT,draft_capital,626,0.235146,0.248437
z_height_in,0.0121595,0.0364362,0.738591,IOL,log_pick,492,0.156991,0.848691
z_weight_lb,0.134636,0.0392262,0.000598527,IOL,log_pick,492,0.156991,0.00369092
z_forty,0.153017,0.040927,0.000184924,IOL,log_pick,492,0.156991,0.00136844
z_bench,0.0409701,0.0347896,0.238934,IOL,log_pick,492,0.156991,0.394667
z_vertical,0.0460146,0.0445985,0.302189,IOL,log_pick,492,0.156991,0.446945
z_broad,0.0627892,0.0538505,0.243618,IOL,log_pick,492,0.156991,0.398843
z_cone,0.054732,0.0438304,0.211767,IOL,log_pick,492,0.156991,0.365239
z_shuttle,-0.0273585,0.0515327,0.595491,IOL,log_pick,492,0.156991,0.743305
forty_missing,0.163376,0.140897,0.246235,IOL,log_pick,492,0.156991,0.399591
bench_missing,-0.0956611,0.0884823,0.279638,IOL,log_pick,492,0.156991,0.425881
vertical_missing,0.415015,0.222858,0.0625697,IOL,log_pick,492,0.156991,0.160769
broad_missing,-0.532301,0.227498,0.0192938,IOL,log_pick,492,0.156991,0.0707339
agility_missing,0.0307346,0.104237,0.768106,IOL,log_pick,492,0.156991,0.861992
age_at_draft,-0.154518,0.0424212,0.000270029,IOL,log_pick,492,0.156991,0.00192136
power_conf,0.160687,0.0887523,0.0702159,IOL,log_pick,492,0.156991,0.177944
fbs,0.144363,0.133866,0.280851,IOL,log_pick,492,0.156991,0.425881
draft_year_c,-0.0943474,0.0586174,0.107497,IOL,log_pick,492,0.156991,0.2271
z_height_in,-0.0255794,0.0864734,0.767377,IOL,drafted,853,0.13179,0.857709
z_weight_lb,0.562695,0.0989663,1.30261e-08,IOL,drafted,853,0.13179,2.83317e-07
z_forty,0.445225,0.100786,9.98459e-06,IOL,drafted,853,0.13179,0.00013364
z_bench,0.221782,0.0813366,0.00639666,IOL,drafted,853,0.13179,0.0397507
z_vertical,-0.00293099,0.10209,0.977096,IOL,drafted,853,0.13179,0.986303
z_broad,0.169887,0.111147,0.126392,IOL,drafted,853,0.13179,0.302547
z_cone,0.228574,0.119842,0.0564812,IOL,drafted,853,0.13179,0.194795
z_shuttle,0.33974,0.119055,0.00432231,IOL,drafted,853,0.13179,0.0289262
forty_missing,0.454398,0.309278,0.141773,IOL,drafted,853,0.13179,0.318162
bench_missing,-0.405138,0.183924,0.0276122,IOL,drafted,853,0.13179,0.120694
vertical_missing,0.551149,0.431129,0.201114,IOL,drafted,853,0.13179,0.397657
broad_missing,-0.48691,0.453384,0.282846,IOL,drafted,853,0.13179,0.477817
agility_missing,-0.3533,0.242606,0.145318,IOL,drafted,853,0.13179,0.318162
power_conf,0.569217,0.204313,0.00533618,IOL,drafted,853,0.13179,0.0343887
fbs,0.276253,0.340902,0.417734,IOL,drafted,853,0.13179,0.576253
draft_year_c,-0.137278,0.126331,0.27719,IOL,drafted,853,0.13179,0.472853
z_height_in,-0.0157286,0.0264274,0.551736,IOL,draft_capital,853,0.180408,0.685729
z_weight_lb,0.192057,0.0289735,3.38565e-11,IOL,draft_capital,853,0.180408,7.36378e-10
z_forty,0.16705,0.0311706,8.35906e-08,IOL,draft_capital,853,0.180408,9.09048e-07
z_bench,0.0705184,0.0259083,0.00649181,IOL,draft_capital,853,0.180408,0.0275506
z_vertical,0.0325394,0.035205,0.355339,IOL,draft_capital,853,0.180408,0.505809
z_broad,0.094873,0.0416298,0.0226688,IOL,draft_capital,853,0.180408,0.0657396
z_cone,0.0527746,0.0349379,0.130909,IOL,draft_capital,853,0.180408,0.248437
z_shuttle,0.0395135,0.0394312,0.316301,IOL,draft_capital,853,0.180408,0.486359
forty_missing,0.199935,0.112268,0.0749337,IOL,draft_capital,853,0.180408,0.169331
bench_missing,-0.153039,0.0667476,0.0218599,IOL,draft_capital,853,0.180408,0.0644681
vertical_missing,0.374633,0.171426,0.02886,IOL,draft_capital,853,0.180408,0.0797085
broad_missing,-0.417169,0.177648,0.01886,IOL,draft_capital,853,0.180408,0.0596662
agility_missing,-0.0774599,0.0809549,0.338655,IOL,draft_capital,853,0.180408,0.495176
power_conf,0.209419,0.0619291,0.000720692,IOL,draft_capital,853,0.180408,0.00432415
fbs,0.110658,0.0871706,0.204285,IOL,draft_capital,853,0.180408,0.341785
draft_year_c,-0.0485015,0.0425804,0.254679,IOL,draft_capital,853,0.180408,0.410317
z_height_in,0.139976,0.0437622,0.0013811,EDGE,log_pick,647,0.312788,0.00730012
z_weight_lb,0.226304,0.0472829,1.6999e-06,EDGE,log_pick,647,0.312788,1.74711e-05
z_forty,0.417935,0.0498826,5.36627e-17,EDGE,log_pick,647,0.312788,4.9638e-15
z_bench,0.0510388,0.037477,0.173239,EDGE,log_pick,647,0.312788,0.320493
z_vertical,-0.0498436,0.0473871,0.292873,EDGE,log_pick,647,0.312788,0.436948
z_broad,0.113832,0.0584208,0.0513565,EDGE,log_pick,647,0.312788,0.143954
z_cone,0.0884541,0.0451527,0.0501128,EDGE,log_pick,647,0.312788,0.142629
z_shuttle,0.0577348,0.0439636,0.189102,EDGE,log_pick,647,0.312788,0.339649
forty_missing,0.163043,0.148329,0.271682,EDGE,log_pick,647,0.312788,0.424604
bench_missing,0.266382,0.0984239,0.0068001,EDGE,log_pick,647,0.312788,0.0299528
vertical_missing,0.340857,0.182643,0.0620068,EDGE,log_pick,647,0.312788,0.160769
broad_missing,0.0489663,0.170921,0.774506,EDGE,log_pick,647,0.312788,0.863155
agility_missing,-0.25592,0.110935,0.0210585,EDGE,log_pick,647,0.312788,0.0749196
age_at_draft,-0.312134,0.0421835,1.36782e-13,EDGE,log_pick,647,0.312788,8.4349e-12
power_conf,-0.0485064,0.104025,0.641003,EDGE,log_pick,647,0.312788,0.770798
fbs,0.612167,0.129975,2.47863e-06,EDGE,log_pick,647,0.312788,2.41341e-05
draft_year_c,-0.167421,0.0696094,0.0161662,EDGE,log_pick,647,0.312788,0.0636329
z_height_in,0.0573112,0.0955053,0.548451,EDGE,drafted,925,0.155631,0.68655
z_weight_lb,0.529333,0.106625,6.89077e-07,EDGE,drafted,925,0.155631,1.08999e-05
z_forty,0.769297,0.11742,5.68885e-11,EDGE,drafted,925,0.155631,1.64977e-09
z_bench,0.143298,0.100144,0.152453,EDGE,drafted,925,0.155631,0.327492
z_vertical,0.209355,0.123485,0.0900009,EDGE,drafted,925,0.155631,0.253586
z_broad,0.200385,0.127349,0.1156,EDGE,drafted,925,0.155631,0.295221
z_cone,0.27424,0.109017,0.0118844,EDGE,drafted,925,0.155631,0.0646212
z_shuttle,0.108691,0.111552,0.329882,EDGE,drafted,925,0.155631,0.517113
forty_missing,0.264503,0.302585,0.38204,EDGE,drafted,925,0.155631,0.550031
bench_missing,0.135985,0.19186,0.478468,EDGE,drafted,925,0.155631,0.625965
vertical_missing,-0.138109,0.429532,0.747806,EDGE,drafted,925,0.155631,0.844924
broad_missing,-0.427675,0.417482,0.305638,EDGE,drafted,925,0.155631,0.492417
agility_missing,-0.233478,0.227352,0.304446,EDGE,drafted,925,0.155631,0.492417
